t,x,v,a
0,0,0,10
0.001,5e-006,0.01,10
0.002,2e-005,0.02,10
0.003,4.5e-005,0.03,10
0.004,8e-005,0.04,10
0.005,0.000125,0.05,10
0.006,0.00018,0.06,10
0.007,0.000245,0.07,10
0.008,0.00032,0.08,10
0.009,0.000405,0.09,10
0.01,0.0005,0.1,10
0.011,0.000605,0.11,10
0.012,0.00072,0.12,10
0.013,0.000845,0.13,10
0.014,0.00098,0.14,10
0.015,0.001125,0.15,10
0.016,0.00128,0.16,10
0.017,0.001445,0.17,10
0.018,0.00162,0.18,10
0.019,0.001805,0.19,10
0.02,0.002,0.2,10
0.021,0.002205,0.21,10
0.022,0.00242,0.22,10
0.023,0.002645,0.23,10
0.024,0.00288,0.24,10
0.025,0.003125,0.25,10
0.026,0.00338,0.26,10
0.027,0.003645,0.27,10
0.028,0.00392,0.28,10
0.029,0.004205,0.29,10
0.03,0.0045,0.3,10
0.031,0.004805,0.31,10
0.032,0.00512,0.32,10
0.033,0.005445,0.33,10
0.034,0.00578,0.34,10
0.035,0.006125,0.35,10
0.036,0.00648,0.36,10
0.037,0.006845,0.37,10
0.038,0.00722,0.38,10
0.039,0.007605,0.39,10
0.04,0.008,0.4,10
0.041,0.008405,0.41,10
0.042,0.00882,0.42,10
0.043,0.009245,0.43,10
0.044,0.00968,0.44,10
0.045,0.010125,0.45,10
0.046,0.01058,0.46,10
0.047,0.011045,0.47,10
0.048,0.01152,0.48,10
0.049,0.012005,0.49,10
0.05,0.0125,0.5,10
0.051,0.013005,0.51,10
0.052,0.01352,0.52,10
0.053,0.014045,0.53,10
0.054,0.01458,0.54,10
0.055,0.015125,0.55,10
0.056,0.01568,0.56,10
0.057,0.016245,0.57,10
0.058,0.01682,0.58,10
0.059,0.017405,0.59,10
0.06,0.018,0.6,10
0.061,0.018605,0.61,10
0.062,0.01922,0.62,10
0.063,0.019845,0.63,10
0.064,0.02048,0.64,10
0.065,0.021125,0.65,10
0.066,0.02178,0.66,10
0.067,0.022445,0.67,10
0.068,0.02312,0.68,10
0.069,0.023805,0.69,10
0.07,0.0245,0.7,10
0.071,0.025205,0.71,10
0.072,0.02592,0.72,10
0.073,0.026645,0.73,10
0.074,0.02738,0.74,10
0.075,0.028125,0.75,10
0.076,0.02888,0.76,10
0.077,0.029645,0.77,10
0.078,0.03042,0.78,10
0.079,0.031205,0.79,10
0.08,0.032,0.8,10
0.081,0.032805,0.81,10
0.082,0.03362,0.82,10
0.083,0.034445,0.83,10
0.084,0.03528,0.84,10
0.085,0.036125,0.85,10
0.086,0.03698,0.86,10
0.087,0.037845,0.87,10
0.088,0.03872,0.88,10
0.089,0.039605,0.89,10
0.09,0.0405,0.9,10
0.091,0.041405,0.91,10
0.092,0.04232,0.92,10
0.093,0.043245,0.93,10
0.094,0.04418,0.94,10
0.095,0.045125,0.95,10
0.096,0.04608,0.96,10
0.097,0.047045,0.97,10
0.098,0.04802,0.98,10
0.099,0.049005,0.99,10
0.1,0.05,1,10
0.101,0.051005,1.01,10
0.102,0.05202,1.02,10
0.103,0.053045,1.03,10
0.104,0.05408,1.04,10
0.105,0.055125,1.05,10
0.106,0.05618,1.06,10
0.107,0.057245,1.07,10
0.108,0.05832,1.08,10
0.109,0.059405,1.09,10
0.11,0.0605,1.1,10
0.111,0.061605,1.11,10
0.112,0.06272,1.12,10
0.113,0.063845,1.13,10
0.114,0.06498,1.14,10
0.115,0.066125,1.15,10
0.116,0.06728,1.16,10
0.117,0.068445,1.17,10
0.118,0.06962,1.18,10
0.119,0.070805,1.19,10
0.12,0.072,1.2,10
0.121,0.073205,1.21,10
0.122,0.07442,1.22,10
0.123,0.075645,1.23,10
0.124,0.07688,1.24,10
0.125,0.078125,1.25,10
0.126,0.07938,1.26,10
0.127,0.080645,1.27,10
0.128,0.08192,1.28,10
0.129,0.083205,1.29,10
0.13,0.0845,1.3,10
0.131,0.085805,1.31,10
0.132,0.08712,1.32,10
0.133,0.088445,1.33,10
0.134,0.08978,1.34,10
0.135,0.091125,1.35,10
0.136,0.09248,1.36,10
0.137,0.093845,1.37,10
0.138,0.09522,1.38,10
0.139,0.096605,1.39,10
0.14,0.098,1.4,10
0.141,0.099405,1.41,10
0.142,0.10082,1.42,10
0.143,0.102245,1.43,10
0.144,0.10368,1.44,10
0.145,0.105125,1.45,10
0.146,0.10658,1.46,10
0.147,0.108045,1.47,10
0.148,0.10952,1.48,10
0.149,0.111005,1.49,10
0.15,0.1125,1.5,10
0.151,0.114005,1.51,10
0.152,0.11552,1.52,10
0.153,0.117045,1.53,10
0.154,0.11858,1.54,10
0.155,0.120125,1.55,10
0.156,0.12168,1.56,10
0.157,0.123245,1.57,10
0.158,0.12482,1.58,10
0.159,0.126405,1.59,10
0.16,0.128,1.6,10
0.161,0.129605,1.61,10
0.162,0.13122,1.62,10
0.163,0.132845,1.63,10
0.164,0.13448,1.64,10
0.165,0.136125,1.65,10
0.166,0.13778,1.66,10
0.167,0.139445,1.67,10
0.168,0.14112,1.68,10
0.169,0.142805,1.69,10
0.17,0.1445,1.7,10
0.171,0.146205,1.71,10
0.172,0.14792,1.72,10
0.173,0.149645,1.73,10
0.174,0.15138,1.74,10
0.175,0.153125,1.75,10
0.176,0.15488,1.76,10
0.177,0.156645,1.77,10
0.178,0.15842,1.78,10
0.179,0.160205,1.79,10
0.18,0.162,1.8,10
0.181,0.163805,1.81,10
0.182,0.16562,1.82,10
0.183,0.167445,1.83,10
0.184,0.16928,1.84,10
0.185,0.171125,1.85,10
0.186,0.17298,1.86,10
0.187,0.174845,1.87,10
0.188,0.17672,1.88,10
0.189,0.178605,1.89,10
0.19,0.1805,1.9,10
0.191,0.182405,1.91,10
0.192,0.18432,1.92,10
0.193,0.186245,1.93,10
0.194,0.18818,1.94,10
0.195,0.190125,1.95,10
0.196,0.19208,1.96,10
0.197,0.194045,1.97,10
0.198,0.19602,1.98,10
0.199,0.198005,1.99,10
0.2,0.2,2,10
0.201,0.202005,2.01,10
0.202,0.20402,2.02,10
0.203,0.206045,2.03,10
0.204,0.20808,2.04,10
0.205,0.210125,2.05,10
0.206,0.21218,2.06,10
0.207,0.214245,2.07,10
0.208,0.21632,2.08,10
0.209,0.218405,2.09,10
0.21,0.2205,2.1,10
0.211,0.222605,2.11,10
0.212,0.22472,2.12,10
0.213,0.226845,2.13,10
0.214,0.22898,2.14,10
0.215,0.231125,2.15,10
0.216,0.23328,2.16,10
0.217,0.235445,2.17,10
0.218,0.23762,2.18,10
0.219,0.239805,2.19,10
0.22,0.242,2.2,10
0.221,0.244205,2.21,10
0.222,0.24642,2.22,10
0.223,0.248645,2.23,10
0.224,0.25088,2.24,10
0.225,0.253125,2.25,10
0.226,0.25538,2.26,10
0.227,0.257645,2.27,10
0.228,0.25992,2.28,10
0.229,0.262205,2.29,10
0.23,0.2645,2.3,10
0.231,0.266805,2.31,10
0.232,0.26912,2.32,10
0.233,0.271445,2.33,10
0.234,0.27378,2.34,10
0.235,0.276125,2.35,10
0.236,0.27848,2.36,10
0.237,0.280845,2.37,10
0.238,0.28322,2.38,10
0.239,0.285605,2.39,10
0.24,0.288,2.4,10
0.241,0.290405,2.41,10
0.242,0.29282,2.42,10
0.243,0.295245,2.43,10
0.244,0.29768,2.44,10
0.245,0.300125,2.45,10
0.246,0.30258,2.46,10
0.247,0.305045,2.47,10
0.248,0.30752,2.48,10
0.249,0.310005,2.49,10
0.25,0.3125,2.5,10
0.251,0.315005,2.51,10
0.252,0.31752,2.52,10
0.253,0.320045,2.53,10
0.254,0.32258,2.54,10
0.255,0.325125,2.55,10
0.256,0.32768,2.56,10
0.257,0.330245,2.57,10
0.258,0.33282,2.58,10
0.259,0.335405,2.59,10
0.26,0.338,2.6,10
0.261,0.340605,2.61,10
0.262,0.34322,2.62,10
0.263,0.345845,2.63,10
0.264,0.34848,2.64,10
0.265,0.351125,2.65,10
0.266,0.35378,2.66,10
0.267,0.356445,2.67,10
0.268,0.35912,2.68,10
0.269,0.361805,2.69,10
0.27,0.3645,2.7,10
0.271,0.367205,2.71,10
0.272,0.36992,2.72,10
0.273,0.372645,2.73,10
0.274,0.37538,2.74,10
0.275,0.378125,2.75,10
0.276,0.38088,2.76,10
0.277,0.383645,2.77,10
0.278,0.38642,2.78,10
0.279,0.389205,2.79,10
0.28,0.392,2.8,10
0.281,0.394805,2.81,10
0.282,0.39762,2.82,10
0.283,0.400445,2.83,10
0.284,0.40328,2.84,10
0.285,0.406125,2.85,10
0.286,0.40898,2.86,10
0.287,0.411845,2.87,10
0.288,0.41472,2.88,10
0.289,0.417605,2.89,10
0.29,0.4205,2.9,10
0.291,0.423405,2.91,10
0.292,0.42632,2.92,10
0.293,0.429245,2.93,10
0.294,0.43218,2.94,10
0.295,0.435125,2.95,10
0.296,0.43808,2.96,10
0.297,0.441045,2.97,10
0.298,0.44402,2.98,10
0.299,0.447005,2.99,10
0.3,0.45,3,10
0.301,0.453005,3.01,10
0.302,0.45602,3.02,10
0.303,0.459045,3.03,10
0.304,0.46208,3.04,10
0.305,0.465125,3.05,10
0.306,0.46818,3.06,10
0.307,0.471245,3.07,10
0.308,0.47432,3.08,10
0.309,0.477405,3.09,10
0.31,0.4805,3.1,10
0.311,0.483605,3.11,10
0.312,0.48672,3.12,10
0.313,0.489845,3.13,10
0.314,0.49298,3.14,10
0.315,0.496125,3.15,10
0.316,0.49928,3.16,10
0.317,0.502445,3.17,10
0.318,0.50562,3.18,10
0.319,0.508805,3.19,10
0.32,0.512,3.2,10
0.321,0.515205,3.21,10
0.322,0.51842,3.22,10
0.323,0.521645,3.23,10
0.324,0.52488,3.24,10
0.325,0.528125,3.25,10
0.326,0.53138,3.26,10
0.327,0.534645,3.27,10
0.328,0.53792,3.28,10
